match_date,match_count,avg_duration,avg_total_kills,radiant_wins,dire_wins,stomp_games,radiant_win_rate
2023-01-01,23,31.82,58.39,12,11,0,52.17
2023-01-02,66,34.28,72.71,26,40,5,39.39
2023-01-03,67,34.22,66.51,23,44,6,34.33
2023-01-04,54,35.99,67.41,26,28,7,48.15
2023-01-05,75,34.49,62.2,37,38,2,49.33
2023-01-06,66,36.82,59.79,36,30,2,54.55
2023-01-07,58,32.95,59.19,28,30,1,48.28
2023-01-08,77,34.31,59.1,37,40,8,48.05
2023-01-09,68,35.52,56.76,31,37,5,45.59
2023-01-10,84,33.88,61.38,40,44,5,47.62
2023-01-11,76,35.91,59.41,35,41,4,46.05
2023-01-12,74,34.07,60.61,37,37,2,50.0
2023-01-13,82,35.81,53.35,32,50,4,39.02
2023-01-14,81,35.19,58.04,36,45,5,44.44
2023-01-15,98,34.38,58.7,43,55,6,43.88
2023-01-16,97,36.04,56.06,42,55,5,43.3
2023-01-17,100,34.62,56.71,41,59,6,41.0
2023-01-18,96,34.41,57.49,38,58,12,39.58
2023-01-19,94,35.49,59.45,48,46,5,51.06
2023-01-20,106,35.1,59.61,53,53,5,50.0
2023-01-21,79,35.74,62.78,38,41,5,48.1
2023-01-22,99,35.16,61.69,53,46,12,53.54
2023-01-23,92,35.01,62.16,50,42,7,54.35
2023-01-24,91,35.7,58.52,40,51,3,43.96
2023-01-25,94,36.57,59.95,43,51,5,45.74
2023-01-26,87,34.4,57.23,46,41,4,52.87
2023-01-27,112,36.66,59.98,56,56,6,50.0
2023-01-28,115,36.44,55.43,58,57,11,50.43
2023-01-29,106,35.41,58.41,52,54,12,49.06
2023-01-30,90,36.79,57.3,39,51,5,43.33
2023-01-31,80,36.33,58.94,39,41,6,48.75
2023-02-01,90,35.98,60.51,33,57,3,36.67
2023-02-02,83,35.0,58.46,37,46,6,44.58
2023-02-03,94,36.25,55.77,42,52,5,44.68
2023-02-04,91,37.25,61.33,37,54,7,40.66
2023-02-05,124,34.85,57.59,62,62,8,50.0
2023-02-06,104,35.01,56.0,48,56,5,46.15
2023-02-07,101,36.28,58.87,44,57,9,43.56
2023-02-08,90,36.68,58.27,32,58,6,35.56
2023-02-09,97,36.83,59.4,45,52,5,46.39
2023-02-10,95,36.23,56.73,45,50,3,47.37
2023-02-11,88,35.19,55.9,39,49,4,44.32
2023-02-12,105,35.68,60.68,45,60,12,42.86
2023-02-13,99,35.75,58.47,48,51,11,48.48
2023-02-14,96,37.51,58.9,46,50,5,47.92
2023-02-15,76,36.2,57.64,41,35,5,53.95
2023-02-16,91,35.03,57.21,47,44,4,51.65
2023-02-17,88,35.34,57.42,38,50,5,43.18
2023-02-18,85,34.81,61.09,42,43,9,49.41
2023-02-19,133,34.79,62.44,70,63,16,52.63
2023-02-20,82,32.88,58.34,35,47,7,42.68
2023-02-21,82,32.77,58.35,40,42,4,48.78
2023-02-22,115,37.16,59.03,46,69,8,40.0
2023-02-23,111,35.67,53.14,53,58,7,47.75
2023-02-24,117,35.62,57.97,54,63,8,46.15
2023-02-25,113,36.34,58.06,40,73,8,35.4
2023-02-26,107,33.38,54.83,51,56,15,47.66
2023-02-27,82,37.08,59.79,36,46,7,43.9
2023-02-28,77,33.96,59.55,36,41,6,46.75
2023-03-01,71,34.15,55.68,30,41,2,42.25
2023-03-02,65,33.65,59.71,35,30,6,53.85
2023-03-03,67,34.07,58.81,26,41,7,38.81
2023-03-04,73,34.62,63.93,32,41,7,43.84
2023-03-05,102,33.37,57.47,40,62,11,39.22
2023-03-06,68,36.46,58.63,32,36,5,47.06
2023-03-07,84,33.28,61.6,39,45,6,46.43
2023-03-08,66,34.24,62.23,39,27,5,59.09
2023-03-09,62,35.0,65.29,30,32,4,48.39
2023-03-10,56,32.72,58.86,24,32,3,42.86
2023-03-11,68,34.87,63.09,30,38,4,44.12
2023-03-12,106,35.99,60.07,50,56,12,47.17
2023-03-13,82,35.7,58.05,41,41,6,50.0
2023-03-14,69,32.8,55.06,41,28,3,59.42
2023-03-15,78,34.98,57.23,31,47,2,39.74
2023-03-16,64,34.41,57.81,33,31,4,51.56
2023-03-17,72,36.79,57.18,31,41,2,43.06
2023-03-18,81,36.76,61.32,34,47,2,41.98
2023-03-19,144,35.32,56.79,65,79,13,45.14
2023-03-20,132,36.98,56.15,70,62,7,53.03
2023-03-21,116,34.91,58.96,62,54,10,53.45
2023-03-22,101,38.23,59.12,40,61,9,39.6
2023-03-23,85,34.36,54.33,37,48,5,43.53
2023-03-24,92,37.33,62.45,39,53,7,42.39
2023-03-25,87,34.19,59.11,39,48,8,44.83
2023-03-26,110,34.34,58.12,57,53,14,51.82
