hero_id,times_played,wins,avg_kills,avg_deaths,avg_assists,avg_kda,avg_gpm,avg_xpm,avg_hero_damage,avg_tower_damage,win_rate,pick_count,ban_count,total_presence,calculated_at,presence_rate,meta_tier
67.0,46,22,8.54,3.48,13.98,10.02,589.52,755.15,34466.0,2621.0,47.83,1657,2872,4529,2026-01-01T18:13:12.751Z,7.6,C-Tier
8.0,51,27,7.8,4.02,7.57,5.98,615.94,758.69,22191.0,5703.0,52.94,1623,1991,3614,2026-01-01T18:13:12.751Z,6.06,C-Tier
70.0,74,32,8.74,5.0,5.86,4.54,572.34,699.54,20847.0,2861.0,43.24,2205,6688,8893,2026-01-01T18:13:12.751Z,14.92,C-Tier
69.0,131,67,6.01,5.78,12.69,5.13,639.57,691.22,20800.0,775.0,51.15,3551,5372,8923,2026-01-01T18:13:12.751Z,14.97,C-Tier
7.0,18,7,3.61,8.67,12.61,2.53,336.06,474.17,14513.0,856.0,38.89,2008,1474,3482,2026-01-01T18:13:12.751Z,5.84,C-Tier
112.0,24,7,3.38,7.96,11.63,2.6,314.38,462.25,15986.0,180.0,29.17,636,2318,2954,2026-01-01T18:13:12.751Z,4.95,D-Tier
128.0,225,101,5.93,6.23,13.43,5.09,376.43,510.04,18068.0,811.0,44.89,4996,2642,7638,2026-01-01T18:13:12.751Z,12.81,C-Tier
108.0,16,5,3.0,6.13,8.31,2.22,421.63,474.13,14604.0,1521.0,31.25,1351,1641,2992,2026-01-01T18:13:12.751Z,5.02,C-Tier
88.0,33,18,2.06,9.15,13.52,2.03,254.61,419.97,10848.0,158.0,54.55,1264,2440,3704,2026-01-01T18:13:12.751Z,6.21,C-Tier
49.0,55,25,4.36,4.67,8.36,4.43,439.38,523.05,14268.0,3965.0,45.45,2024,1275,3299,2026-01-01T18:13:12.751Z,5.53,C-Tier
101.0,89,41,5.87,7.53,12.8,3.61,300.49,455.48,18058.0,350.0,46.07,4687,2615,7302,2026-01-01T18:13:12.751Z,12.25,C-Tier
98.0,61,33,6.57,5.72,7.75,4.39,513.38,647.1,20731.0,1723.0,54.1,2798,5446,8244,2026-01-01T18:13:12.751Z,13.83,C-Tier
29.0,47,22,3.55,5.81,15.09,4.68,424.62,558.47,15020.0,1076.0,46.81,2123,2127,4250,2026-01-01T18:13:12.751Z,7.13,C-Tier
107.0,33,13,4.06,7.58,12.58,2.7,297.15,432.82,13297.0,172.0,39.39,2072,1967,4039,2026-01-01T18:13:12.751Z,6.77,C-Tier
64.0,85,50,3.38,8.24,15.49,3.23,306.08,464.38,14228.0,2041.0,58.82,2729,934,3663,2026-01-01T18:13:12.751Z,6.14,C-Tier
75.0,131,69,4.79,7.86,16.02,3.48,308.66,437.83,16845.0,754.0,52.67,2775,2520,5295,2026-01-01T18:13:12.751Z,8.88,C-Tier
47.0,40,21,6.83,6.55,10.83,3.95,509.2,596.43,25481.0,3203.0,52.5,1007,4023,5030,2026-01-01T18:13:12.751Z,8.44,C-Tier
42.0,45,28,7.02,3.44,7.84,6.7,600.6,693.84,17789.0,7504.0,62.22,1903,1574,3477,2026-01-01T18:13:12.751Z,5.83,C-Tier
44.0,43,14,7.28,5.02,6.14,4.32,569.16,715.63,17732.0,2226.0,32.56,2009,2487,4496,2026-01-01T18:13:12.751Z,7.54,C-Tier
96.0,113,64,3.91,5.95,15.22,4.8,432.26,556.35,14009.0,1867.0,56.64,2979,2713,5692,2026-01-01T18:13:12.751Z,9.55,C-Tier
35.0,90,41,8.51,5.34,9.39,5.74,592.38,694.29,28404.0,5274.0,45.56,1245,2251,3496,2026-01-01T18:13:12.751Z,5.86,C-Tier
62.0,24,12,7.46,6.04,15.29,5.47,507.83,562.04,21621.0,1323.0,50.0,1623,1779,3402,2026-01-01T18:13:12.751Z,5.71,C-Tier
18.0,39,19,6.77,4.79,9.36,5.79,584.31,722.36,18726.0,5455.0,48.72,2368,1643,4011,2026-01-01T18:13:12.751Z,6.73,C-Tier
86.0,330,169,4.25,6.51,15.14,4.59,330.6,494.0,16960.0,381.0,51.21,9932,5983,15915,2026-01-01T18:13:12.751Z,26.69,B-Tier
80.0,25,18,7.32,2.56,10.12,10.16,608.72,723.12,20268.0,16052.0,72.0,786,3034,3820,2026-01-01T18:13:12.751Z,6.41,C-Tier
120.0,122,54,6.23,5.84,12.06,5.3,502.75,653.16,22779.0,794.0,44.26,4447,8167,12614,2026-01-01T18:13:12.751Z,21.16,B-Tier
104.0,109,47,5.16,6.88,11.15,2.94,418.86,536.45,18582.0,1973.0,43.12,4423,5204,9627,2026-01-01T18:13:12.751Z,16.15,B-Tier
39.0,72,35,10.28,5.03,10.89,7.78,569.1,755.44,29369.0,2042.0,48.61,2631,5506,8137,2026-01-01T18:13:12.751Z,13.65,C-Tier
1.0,14,8,6.86,3.71,6.57,4.33,593.36,732.57,18604.0,5459.0,57.14,1356,3649,5005,2026-01-01T18:13:12.751Z,8.4,C-Tier
94.0,12,6,5.17,2.5,9.5,9.1,643.42,718.5,19050.0,8262.0,50.0,1891,4850,6741,2026-01-01T18:13:12.751Z,11.31,C-Tier
121.0,59,21,3.12,8.03,13.93,3.08,294.56,436.47,11981.0,327.0,35.59,3581,2582,6163,2026-01-01T18:13:12.751Z,10.34,C-Tier
114.0,64,37,7.73,4.69,10.39,7.31,570.09,698.94,22757.0,4318.0,57.81,3049,7215,10264,2026-01-01T18:13:12.751Z,17.22,B-Tier
34.0,17,8,7.29,6.65,12.0,4.5,500.65,678.88,32512.0,101.0,47.06,581,2260,2841,2026-01-01T18:13:12.751Z,4.77,D-Tier
37.0,18,7,3.61,7.06,14.94,4.28,308.5,426.56,15111.0,1121.0,38.89,1237,1164,2401,2026-01-01T18:13:12.751Z,4.03,D-Tier
25.0,191,98,9.68,5.03,7.3,6.38,655.21,782.9,25797.0,7601.0,51.31,2745,6220,8965,2026-01-01T18:13:12.751Z,15.04,B-Tier
36.0,13,7,7.92,6.23,12.31,6.3,520.54,656.77,24635.0,893.0,53.85,1354,2999,4353,2026-01-01T18:13:12.751Z,7.3,C-Tier
41.0,62,32,7.94,4.27,10.92,7.32,586.85,737.71,20617.0,3465.0,51.61,2478,5811,8289,2026-01-01T18:13:12.751Z,13.9,C-Tier
4.0,52,29,9.27,4.98,10.5,6.57,594.02,739.77,26576.0,4295.0,55.77,2644,7200,9844,2026-01-01T18:13:12.751Z,16.51,B-Tier
137.0,81,42,7.84,6.02,14.1,5.78,457.27,623.51,20851.0,843.0,51.85,3814,9044,12858,2026-01-01T18:13:12.751Z,21.57,B-Tier
85.0,130,68,3.66,8.18,16.87,3.46,308.47,468.95,9406.0,470.0,52.31,4941,5435,10376,2026-01-01T18:13:12.751Z,17.4,B-Tier
23.0,24,9,5.54,5.88,11.96,5.1,528.42,647.08,21080.0,1840.0,37.5,2243,3069,5312,2026-01-01T18:13:12.751Z,8.91,C-Tier
77.0,36,22,6.0,3.42,13.56,9.27,537.31,581.17,15141.0,8016.0,61.11,1553,3550,5103,2026-01-01T18:13:12.751Z,8.56,C-Tier
56.0,22,6,5.36,5.0,5.55,2.3,501.68,619.73,24142.0,3985.0,27.27,1174,1119,2293,2026-01-01T18:13:12.751Z,3.85,D-Tier
50.0,55,32,3.15,6.8,15.36,4.0,332.65,474.67,10561.0,696.0,58.18,1421,3587,5008,2026-01-01T18:13:12.751Z,8.4,C-Tier
123.0,173,88,5.29,6.21,13.86,4.56,322.2,486.89,17234.0,401.0,50.87,2583,1467,4050,2026-01-01T18:13:12.751Z,6.79,C-Tier
78.0,32,16,4.59,5.81,14.78,5.7,377.22,539.88,15033.0,1926.0,50.0,1309,3538,4847,2026-01-01T18:13:12.751Z,8.13,C-Tier
79.0,13,7,4.08,6.15,14.85,4.53,293.08,420.08,14030.0,161.0,53.85,1980,1662,3642,2026-01-01T18:13:12.751Z,6.11,C-Tier
113.0,7,1,4.0,4.86,5.0,4.24,637.29,681.86,24280.0,1030.0,14.29,290,646,936,2026-01-01T18:13:12.751Z,1.57,D-Tier
83.0,210,114,2.21,6.99,16.82,4.0,275.8,422.65,10410.0,309.0,54.29,4079,5018,9097,2026-01-01T18:13:12.751Z,15.26,B-Tier
45.0,26,12,6.42,5.35,8.77,4.7,379.96,473.0,20630.0,3285.0,46.15,3248,4247,7495,2026-01-01T18:13:12.751Z,12.57,C-Tier
129.0,99,45,5.18,6.06,13.87,4.28,454.6,593.18,18088.0,956.0,45.45,2567,1878,4445,2026-01-01T18:13:12.751Z,7.46,C-Tier
71.0,39,20,3.54,6.69,14.49,3.56,354.15,521.64,10723.0,349.0,51.28,4990,6394,11384,2026-01-01T18:13:12.751Z,19.09,B-Tier
93.0,89,48,8.79,4.51,9.78,7.52,574.96,730.61,21681.0,4343.0,53.93,2943,9794,12737,2026-01-01T18:13:12.751Z,21.36,B-Tier
31.0,65,29,4.22,9.69,16.29,2.56,283.54,422.08,15523.0,221.0,44.62,3180,1162,4342,2026-01-01T18:13:12.751Z,7.28,C-Tier
11.0,163,85,7.75,4.79,7.54,5.16,599.15,704.25,23564.0,6616.0,52.15,2579,4654,7233,2026-01-01T18:13:12.751Z,12.13,C-Tier
103.0,4,1,4.5,6.5,14.75,3.0,302.0,452.0,18684.0,603.0,25.0,741,595,1336,2026-01-01T18:13:12.751Z,2.24,D-Tier
58.0,57,19,3.77,6.95,10.02,3.15,314.26,440.46,13172.0,2227.0,33.33,2922,3306,6228,2026-01-01T18:13:12.751Z,10.45,C-Tier
106.0,187,94,8.62,4.67,11.87,7.17,529.09,681.25,31754.0,1371.0,50.27,5306,7416,12722,2026-01-01T18:13:12.751Z,21.34,B-Tier
51.0,179,94,3.36,8.4,15.2,2.97,297.64,415.66,15444.0,197.0,52.51,3784,2820,6604,2026-01-01T18:13:12.751Z,11.08,C-Tier
72.0,32,14,6.31,6.91,11.06,3.07,445.16,578.19,22919.0,2277.0,43.75,1921,2157,4078,2026-01-01T18:13:12.751Z,6.84,C-Tier
21.0,78,36,8.27,5.54,11.72,5.79,457.64,647.4,21765.0,2030.0,46.15,3318,5727,9045,2026-01-01T18:13:12.751Z,15.17,B-Tier
14.0,85,47,7.74,6.64,11.44,4.69,509.64,680.29,21464.0,1080.0,55.29,2877,1813,4690,2026-01-01T18:13:12.751Z,7.87,C-Tier
109.0,62,33,7.34,3.58,8.1,7.01,700.53,710.02,23610.0,10297.0,53.23,2777,4104,6881,2026-01-01T18:13:12.751Z,11.54,C-Tier
63.0,49,24,8.24,4.45,11.31,7.58,526.8,705.84,21550.0,3113.0,48.98,1875,4113,5988,2026-01-01T18:13:12.751Z,10.04,C-Tier
111.0,8,5,4.25,7.5,15.25,2.94,292.5,453.13,9650.0,113.0,62.5,1828,1637,3465,2026-01-01T18:13:12.751Z,5.81,C-Tier
48.0,50,20,5.96,4.64,7.78,5.04,636.52,770.28,20220.0,5865.0,40.0,2175,968,3143,2026-01-01T18:13:12.751Z,5.27,C-Tier
22.0,74,33,8.59,5.23,13.55,5.92,482.59,644.62,36430.0,337.0,44.59,2434,3815,6249,2026-01-01T18:13:12.751Z,10.48,C-Tier
82.0,4,2,5.75,5.25,7.25,2.56,580.25,732.5,14441.0,3369.0,50.0,321,1021,1342,2026-01-01T18:13:12.751Z,2.25,D-Tier
60.0,32,14,6.03,5.75,10.34,3.84,445.69,591.56,14869.0,1634.0,43.75,1026,1261,2287,2026-01-01T18:13:12.751Z,3.84,D-Tier
74.0,36,20,6.97,5.14,12.0,6.05,515.14,664.86,22315.0,3066.0,55.56,2822,5454,8276,2026-01-01T18:13:12.751Z,13.88,C-Tier
66.0,10,5,2.0,4.6,12.6,5.28,312.4,359.9,6564.0,3086.0,50.0,708,2046,2754,2026-01-01T18:13:12.751Z,4.62,D-Tier
68.0,13,8,4.15,7.08,16.08,3.38,303.69,456.08,13822.0,188.0,61.54,1366,1573,2939,2026-01-01T18:13:12.751Z,4.93,D-Tier
53.0,90,52,6.72,5.1,11.7,6.67,666.04,707.41,25402.0,7823.0,57.78,3814,6855,10669,2026-01-01T18:13:12.751Z,17.9,B-Tier
19.0,255,117,7.05,6.37,11.64,4.94,419.99,581.8,21774.0,1972.0,45.88,4261,2757,7018,2026-01-01T18:13:12.751Z,11.77,C-Tier
3.0,31,11,2.23,8.55,13.9,2.56,255.81,410.84,9388.0,147.0,35.48,883,737,1620,2026-01-01T18:13:12.751Z,2.72,D-Tier
61.0,54,31,4.2,3.59,10.78,6.58,466.67,575.56,13029.0,4962.0,57.41,1670,6925,8595,2026-01-01T18:13:12.751Z,14.42,C-Tier
81.0,43,18,7.4,5.3,7.23,4.21,524.88,630.02,18346.0,3466.0,41.86,1815,3141,4956,2026-01-01T18:13:12.751Z,8.31,C-Tier
59.0,17,6,6.76,5.47,4.65,4.54,511.59,615.24,18543.0,2909.0,35.29,808,2294,3102,2026-01-01T18:13:12.751Z,5.2,C-Tier
46.0,74,34,8.46,4.03,7.15,6.37,653.47,803.31,26565.0,5494.0,45.95,3524,5595,9119,2026-01-01T18:13:12.751Z,15.3,B-Tier
28.0,40,17,5.0,7.88,11.38,2.64,391.3,527.45,13154.0,1051.0,42.5,1247,1447,2694,2026-01-01T18:13:12.751Z,4.52,D-Tier
2.0,36,17,7.0,6.83,9.5,3.35,458.89,589.61,18984.0,769.0,47.22,2104,1987,4091,2026-01-01T18:13:12.751Z,6.86,C-Tier
57.0,9,4,2.11,5.33,11.56,3.83,260.78,391.0,6692.0,545.0,44.44,629,724,1353,2026-01-01T18:13:12.751Z,2.27,D-Tier
