match_id,account_id,hero_id,kills,deaths,assists,kda_calculated,gold_per_min,xp_per_min,hero_damage,tower_damage,last_hits,denies,level,lane,lane_role,duration_minutes,match_hour,match_day_of_week,game_mode,region,win
6966056838,1.459311384E9,96.0,8,3,13,7.0,603.0,704.0,22047,8413,229.0,14.0,20.0,3.0,3.0,31.57,4,5,2,3.0,1
6964431043,1.459124273E9,41.0,4,4,21,6.25,506.0,733.0,17894,4712,191.0,9.0,21.0,3.0,1.0,33.67,4,4,2,3.0,1
6952104974,1.247011173E9,25.0,7,4,2,2.25,646.0,882.0,19725,1838,323.0,1.0,22.0,2.0,2.0,31.1,7,4,2,3.0,0
6951359453,1.246531472E9,105.0,7,12,10,1.42,379.0,434.0,30373,0,136.0,3.0,16.0,2.0,2.0,34.13,17,3,2,3.0,0
6967536241,8.6822085E7,72.0,3,7,1,0.57,441.0,442.0,9323,0,209.0,11.0,13.0,1.0,1.0,23.9,0,6,2,38.0,0
6967695391,1.46711951E8,69.0,1,5,4,1.0,517.0,432.0,11005,0,243.0,5.0,18.0,3.0,3.0,43.27,5,6,2,5.0,0
6966963282,3.4165442E8,109.0,8,1,13,21.0,760.0,769.0,16865,13624,336.0,11.0,20.0,1.0,1.0,27.97,16,5,2,3.0,1
6963148453,1.11114687E8,58.0,2,8,5,0.88,276.0,300.0,8919,4795,106.0,2.0,14.0,3.0,1.0,38.28,10,3,2,17.0,0
6949088121,1.04995623E9,101.0,3,8,5,1.0,235.0,328.0,12862,92,28.0,1.0,12.0,3.0,3.0,28.45,11,2,2,3.0,0
6948267108,3.32180099E8,69.0,4,11,10,1.27,613.0,741.0,22434,317,221.0,6.0,23.0,3.0,3.0,38.9,22,1,2,3.0,0
6966048671,1.247011173E9,69.0,8,5,20,5.6,663.0,843.0,16891,2021,228.0,4.0,25.0,2.0,2.0,42.07,4,5,2,3.0,1
6962759938,1.50638052E8,84.0,2,10,17,1.9,303.0,522.0,15148,119,20.0,0.0,17.0,3.0,1.0,32.08,4,3,2,5.0,1
6956088564,2.50547284E8,67.0,11,2,18,14.5,632.0,809.0,39951,528,387.0,16.0,26.0,3.0,1.0,46.83,14,6,2,13.0,0
6953948975,1.61736157E8,39.0,15,4,12,6.75,655.0,951.0,29103,2505,214.0,8.0,23.0,2.0,2.0,32.7,10,5,2,3.0,1
