account_id,total_matches,total_wins,avg_kills,avg_deaths,avg_assists,avg_kda,total_kills,total_deaths,total_assists,avg_gpm,avg_xpm,avg_hero_damage,avg_tower_damage,avg_last_hits,unique_heroes_played,last_known_name,highest_rank,win_rate,calculated_at,kda_rank,winrate_rank
1.24801257E8,2,2,13.0,1.0,14.0,27.0,26,2,28,641.0,841.0,17755.0,3525.0,266.5,2,Wake Up To Reality,80.0,100.0,2026-01-01T18:13:10.390Z,1,1
4.0805086E7,1,1,16.0,1.0,8.0,24.0,16,1,8,701.0,812.0,42209.0,11997.0,340.0,1,Rin,80.0,100.0,2026-01-01T18:13:10.390Z,2,2
1.55162307E8,2,2,12.5,0.5,10.0,22.5,25,1,20,775.5,994.0,28389.0,12755.0,384.5,2,berraco,80.0,100.0,2026-01-01T18:13:10.390Z,3,3
2.3823959E8,4,4,13.0,1.5,12.0,21.06,52,6,48,602.25,671.75,23076.0,3590.0,184.5,3,au revoir,80.0,100.0,2026-01-01T18:13:10.390Z,4,4
2.92921272E8,2,2,13.5,3.0,20.5,20.0,27,6,41,543.0,748.0,29792.0,1783.0,217.5,2,Vaca top10000 eu,80.0,100.0,2026-01-01T18:13:10.390Z,5,5
2.5907144E7,2,2,6.0,1.0,20.0,19.75,12,2,40,330.0,531.0,14282.0,324.0,48.0,2,vingegaard,80.0,100.0,2026-01-01T18:13:10.390Z,6,6
2.01358612E8,3,3,7.33,1.33,18.33,18.56,22,4,55,633.0,795.67,27398.0,7824.0,332.0,3,мусор,80.0,100.0,2026-01-01T18:13:10.390Z,7,7
4.80412663E8,2,2,12.0,1.5,12.5,18.5,24,3,25,710.5,926.0,25986.0,8471.0,344.5,2,rtzmidprime,80.0,100.0,2026-01-01T18:13:10.390Z,8,8
1.8077503E8,2,2,7.0,2.0,20.0,18.38,14,4,40,493.5,699.0,30380.0,1094.0,171.5,2,x!x@x#x$x%x^x&x*x(x)x_x+x1x2x3,80.0,100.0,2026-01-01T18:13:10.390Z,9,9
8.6745912E7,2,2,11.5,1.5,13.5,18.34,23,3,27,757.0,798.0,23979.0,14260.0,291.5,2,Muzan Kibutsuji,80.0,100.0,2026-01-01T18:13:10.390Z,10,10
1.26238768E8,2,2,13.5,2.0,14.5,18.25,27,4,29,590.5,717.5,37362.0,9542.0,259.0,2,Gunnar,80.0,100.0,2026-01-01T18:13:10.390Z,11,11
1.5383624E8,2,2,10.0,4.0,17.0,17.57,20,8,34,590.0,746.0,31845.0,4600.0,279.0,2,Clr (,80.0,100.0,2026-01-01T18:13:10.390Z,12,12
4.04176002E8,2,2,17.5,1.0,6.0,17.5,35,2,12,784.5,913.5,31353.0,15048.0,278.0,2,2,80.0,100.0,2026-01-01T18:13:10.390Z,13,13
1.26212866E8,2,2,7.0,2.5,20.0,17.0,14,5,40,575.0,699.0,20750.0,966.0,159.0,2,real egoisto,80.0,100.0,2026-01-01T18:13:10.390Z,14,14
8.78549965E8,4,4,13.0,3.75,19.5,16.73,52,15,78,638.75,828.75,45467.0,2005.0,284.75,3,empty,80.0,100.0,2026-01-01T18:13:10.390Z,16,15
8.4429681E7,2,2,5.5,2.0,18.0,16.17,11,4,36,611.0,674.5,26829.0,2363.0,268.5,2,Hokage Hank,80.0,100.0,2026-01-01T18:13:10.390Z,17,16
1.33167741E8,4,4,11.0,1.25,13.25,15.75,44,5,53,675.25,826.0,27838.0,5391.0,316.75,4,RECOVERY RANKED,80.0,100.0,2026-01-01T18:13:10.390Z,18,17
1.10448679E8,2,2,5.0,2.5,19.0,15.6,10,5,38,347.0,458.5,11347.0,666.0,87.0,2,zangalewa,80.0,100.0,2026-01-01T18:13:10.390Z,19,18
7.3562326E7,3,3,5.33,3.0,21.0,15.2,16,9,63,556.33,676.33,20585.0,4587.0,265.33,2,대구 최강자,80.0,100.0,2026-01-01T18:13:10.390Z,20,19
8.5312703E7,4,4,5.5,2.5,20.0,14.42,22,10,80,535.0,694.0,19611.0,7888.0,250.75,4,pozhalusta,80.0,100.0,2026-01-01T18:13:10.390Z,22,20
1.55332459E8,2,2,5.5,4.0,23.0,14.36,11,8,46,362.5,590.5,16014.0,846.0,70.5,2,GOD DID,80.0,100.0,2026-01-01T18:13:10.390Z,23,21
9.7658618E7,4,4,6.75,1.5,10.25,14.33,27,6,41,619.5,738.0,18545.0,5409.0,244.25,4,chicken macro,80.0,100.0,2026-01-01T18:13:10.390Z,24,22
1.97813893E8,2,2,11.5,4.0,15.0,14.07,23,8,30,571.5,713.5,31898.0,3266.0,281.0,2,yisusad,80.0,100.0,2026-01-01T18:13:10.390Z,26,23
3.37575662E8,4,4,5.5,4.25,24.25,13.54,22,17,97,566.25,670.5,21606.0,6104.0,261.75,4,3 onleh,80.0,100.0,2026-01-01T18:13:10.390Z,27,24
1.23497536E8,4,4,4.25,4.5,25.25,13.51,17,18,101,332.25,558.25,16421.0,653.0,66.75,4,lib,80.0,100.0,2026-01-01T18:13:10.390Z,28,25
2.36214375E8,4,4,9.0,3.0,18.25,13.33,36,12,73,482.25,624.5,21734.0,4723.0,180.25,4,Escanor,80.0,100.0,2026-01-01T18:13:10.390Z,30,26
1.58687136E8,5,5,11.8,1.8,10.2,13.3,59,9,51,604.0,688.0,22853.0,10601.0,241.2,4,exhausted,80.0,100.0,2026-01-01T18:13:10.390Z,31,27
1.52962063E8,3,3,14.33,1.67,9.0,13.28,43,5,27,727.0,864.67,32917.0,9230.0,368.33,3,^^^,80.0,100.0,2026-01-01T18:13:10.390Z,32,28
1.64685175E8,4,4,8.75,1.5,10.25,13.21,35,6,41,811.0,831.75,17430.0,18280.0,385.75,3,si mi mid hitea creeps fedeo,80.0,100.0,2026-01-01T18:13:10.390Z,33,29
1.36829091E8,4,4,3.0,2.75,19.25,13.17,12,11,77,324.25,421.75,13115.0,300.0,42.0,4,NongMon,80.0,100.0,2026-01-01T18:13:10.390Z,34,30
3.89022189E8,4,4,14.75,4.75,11.5,12.92,59,19,46,774.5,839.25,45251.0,19254.0,429.25,3,world peace,80.0,100.0,2026-01-01T18:13:10.390Z,35,31
8.7063175E7,2,2,4.0,2.0,21.5,12.75,8,4,43,381.5,601.5,17756.0,122.0,142.0,1,the lag is nerf me,80.0,100.0,2026-01-01T18:13:10.390Z,38,32
1.5471508E8,2,2,7.5,3.0,14.0,12.7,15,6,28,536.5,604.5,17034.0,293.0,180.0,2,>.<,80.0,100.0,2026-01-01T18:13:10.390Z,39,33
3.46412363E8,4,4,3.75,2.25,20.5,12.29,15,9,82,319.5,486.5,11378.0,756.0,47.5,3,no quickcast = 10 iq bot,80.0,100.0,2026-01-01T18:13:10.390Z,45,34
1.73906452E8,4,4,6.0,3.75,23.5,12.1,24,15,94,361.5,568.0,16012.0,476.0,55.25,3,Atlas,80.0,100.0,2026-01-01T18:13:10.390Z,49,35
1.43659264E8,2,2,14.0,3.0,10.0,12.0,28,6,20,715.0,786.5,32377.0,10713.0,395.0,2,MissFortune††,80.0,100.0,2026-01-01T18:13:10.390Z,50,36
8.41353374E8,3,3,8.33,3.33,13.67,11.94,25,10,41,649.67,746.0,20899.0,9352.0,335.67,3,Xotaruu,80.0,100.0,2026-01-01T18:13:10.390Z,52,37
8.861133E7,4,4,11.5,2.25,10.75,11.42,46,9,43,669.25,832.0,22530.0,8140.0,306.5,3,Iskander D'hul Karnon,80.0,100.0,2026-01-01T18:13:10.390Z,61,38
1.84620877E8,4,4,3.25,2.0,16.25,11.25,13,8,65,585.5,642.5,12185.0,10177.0,222.25,3,dj vitaly flash,80.0,100.0,2026-01-01T18:13:10.390Z,62,39
2.53075824E8,4,4,4.75,5.5,22.75,11.15,19,22,91,407.0,710.0,19431.0,1568.0,70.0,4,MW.zruze,,100.0,2026-01-01T18:13:10.390Z,64,40
3.52545711E8,4,4,7.25,2.5,15.5,11.06,29,10,62,519.75,632.5,20835.0,2693.0,183.75,2,Mago de Ari♥,80.0,100.0,2026-01-01T18:13:10.390Z,66,41
1.32863483E8,1,1,8.0,2.0,14.0,11.0,8,2,14,492.0,551.0,14114.0,5305.0,112.0,1,xD!,80.0,100.0,2026-01-01T18:13:10.390Z,67,42
9.4155156E7,2,2,7.5,3.5,23.0,10.6,15,7,46,362.0,581.0,18505.0,353.0,58.5,2,TTT,80.0,100.0,2026-01-01T18:13:10.390Z,73,43
9.2131659E7,3,3,8.67,3.0,17.0,10.19,26,9,51,495.33,680.0,16671.0,3923.0,145.67,3,The Day,73.0,100.0,2026-01-01T18:13:10.390Z,83,44
1.49039881E8,2,2,8.0,2.0,11.5,9.75,16,4,23,642.0,771.5,21562.0,15792.0,357.0,2,TANSKIE,24.0,100.0,2026-01-01T18:13:10.390Z,92,45
4.08729743E8,4,4,9.25,2.75,11.0,9.63,37,11,44,526.5,590.5,17281.0,3253.0,181.25,3,training,80.0,100.0,2026-01-01T18:13:10.390Z,94,46
2.83545554E8,2,2,11.0,3.5,18.0,9.55,22,7,36,664.5,864.5,40657.0,4267.0,319.0,2,in my team they are not worth,80.0,100.0,2026-01-01T18:13:10.390Z,95,47
3.49569834E8,4,4,7.75,1.5,8.75,9.5,31,6,35,435.0,555.75,16090.0,481.0,142.25,4,paw,80.0,100.0,2026-01-01T18:13:10.390Z,96,48
3.45072645E8,1,1,10.0,3.0,18.0,9.33,10,3,18,846.0,773.0,33758.0,27165.0,684.0,1,xdd,80.0,100.0,2026-01-01T18:13:10.390Z,101,49
3.39235645E8,2,2,10.5,2.5,11.0,9.09,21,5,22,811.5,940.5,25214.0,10064.0,496.0,2,C.R.O,80.0,100.0,2026-01-01T18:13:10.390Z,107,50
