match_id,player_slot,account_id,hero_id,kills,deaths,assists,kda,gold_per_min,xp_per_min,net_worth,total_gold,total_xp,hero_damage,hero_healing,tower_damage,last_hits,denies,level,isRadiant,win,lose,lane,lane_role,is_roaming,camps_stacked,stuns,teamfight_participation,observer_kills,sentry_kills,personaname,rank_tier,kda_calculated,ingestion_timestamp,is_outlier
6951706997,129,8.45344315E8,29.0,2,7,5,0.88,434.0,498.0,13318.0,14293.0,16400.0,5673,0.0,801,190.0,3.0,17.0,false,1,0,1.0,3.0,false,3.0,5.765186,0.21212122,0.0,1.0,vP.RatnBone,,1.0,2026-01-01T18:12:24.202Z,false
6966369463,0,1.271501667E9,18.0,8,8,17,2.78,573.0,762.0,17559.0,22108.0,29400.0,26601,0.0,4445,291.0,3.0,23.0,true,0,1,1.0,1.0,false,2.0,43.087032,0.5952381,0.0,0.0,BoomBoom,80.0,3.13,2026-01-01T18:12:24.202Z,false
6964099537,3,3.14584168E8,123.0,4,1,13,8.5,270.0,318.0,3995.0,4104.0,4833.0,9883,0.0,0,14.0,4.0,8.0,true,1,0,3.0,3.0,false,2.0,33.725002,0.77272725,3.0,4.0,Dash right,80.0,17.0,2026-01-01T18:12:24.202Z,false
6950390191,1,1.459205302E9,76.0,4,7,4,1.0,386.0,471.0,10288.0,11039.0,13470.0,19086,0.0,1804,120.0,12.0,15.0,true,0,1,2.0,2.0,false,0.0,116.01178,0.44444445,0.0,0.0,jaieri,,1.14,2026-01-01T18:12:24.202Z,false
6955395249,0,3.02182417E8,19.0,5,3,16,5.25,358.0,521.0,7902.0,8484.0,12347.0,8976,0.0,912,39.0,3.0,14.0,true,1,0,3.0,3.0,false,0.0,42.595337,0.61764705,2.0,2.0,Chonkyfire,74.0,7.0,2026-01-01T18:12:24.202Z,false
6959917431,132,9.248744E7,96.0,1,5,3,0.67,369.0,412.0,11838.0,12478.0,13932.0,8153,0.0,36,192.0,6.0,15.0,false,0,1,1.0,3.0,false,2.0,48.565884,0.5714286,0.0,0.0,lose only,80.0,0.8,2026-01-01T18:12:24.202Z,false
6964268186,0,1.25995177E8,5.0,2,7,9,1.38,262.0,360.0,7461.0,11353.0,15600.0,12300,195.0,18,56.0,3.0,16.0,true,0,1,1.0,1.0,false,4.0,89.53327,0.625,3.0,5.0,『　   』,80.0,1.57,2026-01-01T18:12:24.202Z,false
6961106959,4,1.06113856E9,64.0,1,7,15,2.0,257.0,411.0,5890.0,7435.0,11891.0,10474,195.0,999,15.0,0.0,14.0,true,1,0,1.0,1.0,false,1.0,29.514332,0.5714286,1.0,3.0,Lunyatop,80.0,2.29,2026-01-01T18:12:24.202Z,false
6955535580,4,2.50358373E8,76.0,20,7,9,3.63,733.0,980.0,24771.0,26424.0,35329.0,42635,0.0,3387,250.0,9.0,25.0,true,1,0,2.0,2.0,false,1.0,127.61814,0.65909094,0.0,0.0,123,80.0,4.14,2026-01-01T18:12:24.202Z,false
6963357532,0,3.21580662E8,81.0,14,1,7,10.5,734.0,662.0,23991.0,24686.0,22265.0,23987,0.0,7613,352.0,18.0,20.0,true,1,0,1.0,1.0,false,0.0,37.514496,0.75,0.0,0.0,00110012041001,80.0,21.0,2026-01-01T18:12:24.202Z,false
6953647827,132,1.459382454E9,11.0,9,1,8,8.5,691.0,540.0,15521.0,15213.0,11889.0,15438,0.0,10660,191.0,14.0,14.0,false,1,0,3.0,1.0,false,0.0,0.0,0.5862069,0.0,0.0,renarr,,17.0,2026-01-01T18:12:24.202Z,false
6960070404,1,4.3934573E8,52.0,6,2,0,2.0,508.0,517.0,12759.0,14359.0,14613.0,16200,0.0,667,232.0,6.0,16.0,true,0,1,2.0,2.0,false,1.0,10.151855,0.85714287,0.0,0.0,jklsad,80.0,3.0,2026-01-01T18:12:24.202Z,false
6964776142,128,1.271501667E9,6.0,4,7,0,0.5,404.0,488.0,8604.0,9244.0,11167.0,8185,0.0,146,114.0,7.0,14.0,false,0,1,3.0,1.0,false,1.0,0.0,0.21052632,0.0,0.0,BoomBoom,80.0,0.57,2026-01-01T18:12:24.202Z,false
6960058135,131,1.290724173E9,7.0,5,6,8,1.86,481.0,677.0,14850.0,15159.0,21336.0,13902,195.0,2586,170.0,7.0,19.0,false,1,0,1.0,3.0,false,0.0,32.12678,0.41935483,0.0,0.0,trapshitxd,80.0,2.17,2026-01-01T18:12:24.202Z,false
6961295383,4,3.01477244E8,84.0,1,13,8,0.64,239.0,301.0,5457.0,6903.0,8693.0,8799,0.0,0,21.0,4.0,12.0,true,0,1,1.0,1.0,false,8.0,28.10962,0.47368422,4.0,3.0,ShinraTensei,80.0,0.69,2026-01-01T18:12:24.202Z,false
6963887264,3,2.22022666E8,109.0,9,0,7,16.0,690.0,829.0,19992.0,19849.0,23847.0,23149,0.0,15237,296.0,10.0,21.0,true,1,0,1.0,1.0,false,0.0,0.0,0.5925926,0.0,0.0,DG.ThunderRiver,52.0,16.0,2026-01-01T18:12:24.202Z,false
